file,conf,method,vol_auc,slice_auc
BRATS_006.nii.gz,0.9756,gradcam,0.071285,0.938260
BRATS_006.nii.gz,0.9756,ig,0.064637,0.937604
BRATS_006.nii.gz,0.9756,occlusion,0.073634,0.936608
BRATS_006.nii.gz,0.9756,tcav_edema,0.053016,0.940750
BRATS_006.nii.gz,0.9756,tcav_enhancing,0.081612,0.942393
BRATS_006.nii.gz,0.9756,tcav_non_enhancing,0.063209,0.943095
BRATS_006.nii.gz,0.9756,random,0.161407,0.951630
BRATS_011.nii.gz,0.9634,gradcam,0.060793,0.916497
BRATS_011.nii.gz,0.9634,ig,0.131309,0.912479
BRATS_011.nii.gz,0.9634,occlusion,0.073006,0.913061
BRATS_011.nii.gz,0.9634,tcav_edema,0.078386,0.910600
BRATS_011.nii.gz,0.9634,tcav_enhancing,0.090284,0.911461
BRATS_011.nii.gz,0.9634,tcav_non_enhancing,0.076614,0.912983
BRATS_011.nii.gz,0.9634,random,0.153637,0.920543
BRATS_014.nii.gz,0.9703,gradcam,0.041012,0.935841
BRATS_014.nii.gz,0.9703,ig,0.101991,0.930764
BRATS_014.nii.gz,0.9703,occlusion,0.060847,0.944983
BRATS_014.nii.gz,0.9703,tcav_edema,0.058450,0.936165
BRATS_014.nii.gz,0.9703,tcav_enhancing,0.049930,0.931909
BRATS_014.nii.gz,0.9703,tcav_non_enhancing,0.048613,0.925111
BRATS_014.nii.gz,0.9703,random,0.288601,0.938913
BRATS_022.nii.gz,0.8612,gradcam,0.840430,0.858340
BRATS_022.nii.gz,0.8612,ig,0.958093,0.863480
BRATS_022.nii.gz,0.8612,occlusion,0.864049,0.845405
BRATS_022.nii.gz,0.8612,tcav_edema,0.941558,0.867618
BRATS_022.nii.gz,0.8612,tcav_enhancing,0.927731,0.859419
BRATS_022.nii.gz,0.8612,tcav_non_enhancing,0.881247,0.862222
BRATS_022.nii.gz,0.8612,random,0.944769,0.863012
BRATS_029.nii.gz,0.9889,gradcam,0.962540,0.988290
BRATS_029.nii.gz,0.9889,ig,0.975581,0.987985
BRATS_029.nii.gz,0.9889,occlusion,0.919852,0.987689
BRATS_029.nii.gz,0.9889,tcav_edema,0.974447,0.988647
BRATS_029.nii.gz,0.9889,tcav_enhancing,0.976637,0.988342
BRATS_029.nii.gz,0.9889,tcav_non_enhancing,0.979162,0.988598
BRATS_029.nii.gz,0.9889,random,0.923713,0.988502
BRATS_040.nii.gz,0.9778,gradcam,0.054967,0.957528
BRATS_040.nii.gz,0.9778,ig,0.061196,0.958155
BRATS_040.nii.gz,0.9778,occlusion,0.063341,0.961520
BRATS_040.nii.gz,0.9778,tcav_edema,0.075236,0.964216
BRATS_040.nii.gz,0.9778,tcav_enhancing,0.064986,0.966056
BRATS_040.nii.gz,0.9778,tcav_non_enhancing,0.057444,0.967625
BRATS_040.nii.gz,0.9778,random,0.297910,0.976465
BRATS_064.nii.gz,1.0000,gradcam,0.108680,0.999993
BRATS_064.nii.gz,1.0000,ig,0.067076,0.999991
BRATS_064.nii.gz,1.0000,occlusion,0.080308,0.999921
BRATS_064.nii.gz,1.0000,tcav_edema,0.109476,0.999917
BRATS_064.nii.gz,1.0000,tcav_enhancing,0.108515,0.999907
BRATS_064.nii.gz,1.0000,tcav_non_enhancing,0.109166,0.999909
BRATS_064.nii.gz,1.0000,random,0.149571,0.999920
BRATS_066.nii.gz,0.5527,gradcam,0.030033,0.494509
BRATS_066.nii.gz,0.5527,ig,0.062058,0.495804
BRATS_066.nii.gz,0.5527,occlusion,0.022725,0.503244
BRATS_066.nii.gz,0.5527,tcav_edema,0.091461,0.503746
BRATS_066.nii.gz,0.5527,tcav_enhancing,0.071583,0.503348
BRATS_066.nii.gz,0.5527,tcav_non_enhancing,0.074476,0.514563
BRATS_066.nii.gz,0.5527,random,0.281181,0.510097
BRATS_070.nii.gz,0.9990,gradcam,0.959358,0.998787
BRATS_070.nii.gz,0.9990,ig,0.964521,0.998799
BRATS_070.nii.gz,0.9990,occlusion,0.964939,0.998698
BRATS_070.nii.gz,0.9990,tcav_edema,0.976662,0.998815
BRATS_070.nii.gz,0.9990,tcav_enhancing,0.973438,0.997043
BRATS_070.nii.gz,0.9990,tcav_non_enhancing,0.978323,0.997695
BRATS_070.nii.gz,0.9990,random,0.963850,0.997198
BRATS_072.nii.gz,0.8730,gradcam,0.776991,0.857108
BRATS_072.nii.gz,0.8730,ig,0.972165,0.871880
BRATS_072.nii.gz,0.8730,occlusion,0.498785,0.848580
BRATS_072.nii.gz,0.8730,tcav_edema,0.984930,0.866930
BRATS_072.nii.gz,0.8730,tcav_enhancing,0.950479,0.882542
BRATS_072.nii.gz,0.8730,tcav_non_enhancing,0.957314,0.883032
BRATS_072.nii.gz,0.8730,random,0.944118,0.873470
BRATS_075.nii.gz,0.9998,gradcam,0.090737,0.998848
BRATS_075.nii.gz,0.9998,ig,0.108717,0.998218
BRATS_075.nii.gz,0.9998,occlusion,0.062809,0.998435
BRATS_075.nii.gz,0.9998,tcav_edema,0.083281,0.999361
BRATS_075.nii.gz,0.9998,tcav_enhancing,0.109137,0.999294
BRATS_075.nii.gz,0.9998,tcav_non_enhancing,0.076998,0.999294
BRATS_075.nii.gz,0.9998,random,0.451312,0.998941
BRATS_079.nii.gz,0.9886,gradcam,0.942519,0.987378
BRATS_079.nii.gz,0.9886,ig,0.986305,0.988101
BRATS_079.nii.gz,0.9886,occlusion,0.856381,0.986323
BRATS_079.nii.gz,0.9886,tcav_edema,0.985935,0.988262
BRATS_079.nii.gz,0.9886,tcav_enhancing,0.966804,0.988363
BRATS_079.nii.gz,0.9886,tcav_non_enhancing,0.959356,0.988300
BRATS_079.nii.gz,0.9886,random,0.981477,0.987465
BRATS_086.nii.gz,0.9992,gradcam,0.922117,0.998674
BRATS_086.nii.gz,0.9992,ig,0.964999,0.996957
BRATS_086.nii.gz,0.9992,occlusion,0.989561,0.998536
BRATS_086.nii.gz,0.9992,tcav_edema,0.986800,0.996791
BRATS_086.nii.gz,0.9992,tcav_enhancing,0.992975,0.998914
BRATS_086.nii.gz,0.9992,tcav_non_enhancing,0.984508,0.998763
BRATS_086.nii.gz,0.9992,random,0.965125,0.997893
BRATS_088.nii.gz,0.6375,gradcam,0.045426,0.528429
BRATS_088.nii.gz,0.6375,ig,0.078676,0.537998
BRATS_088.nii.gz,0.6375,occlusion,0.032035,0.556059
BRATS_088.nii.gz,0.6375,tcav_edema,0.022480,0.533209
BRATS_088.nii.gz,0.6375,tcav_enhancing,0.039225,0.535233
BRATS_088.nii.gz,0.6375,tcav_non_enhancing,0.042772,0.537776
BRATS_088.nii.gz,0.6375,random,0.389863,0.600750
BRATS_091.nii.gz,0.9993,gradcam,0.091836,0.996482
BRATS_091.nii.gz,0.9993,ig,0.061237,0.996615
BRATS_091.nii.gz,0.9993,occlusion,0.053627,0.996514
BRATS_091.nii.gz,0.9993,tcav_edema,0.073486,0.996793
BRATS_091.nii.gz,0.9993,tcav_enhancing,0.061472,0.996728
BRATS_091.nii.gz,0.9993,tcav_non_enhancing,0.069387,0.996530
BRATS_091.nii.gz,0.9993,random,0.457155,0.998405
BRATS_100.nii.gz,0.9838,gradcam,0.824819,0.981880
BRATS_100.nii.gz,0.9838,ig,0.950175,0.983469
BRATS_100.nii.gz,0.9838,occlusion,0.772076,0.980138
BRATS_100.nii.gz,0.9838,tcav_edema,0.985598,0.984235
BRATS_100.nii.gz,0.9838,tcav_enhancing,0.973095,0.984633
BRATS_100.nii.gz,0.9838,tcav_non_enhancing,0.961701,0.984507
BRATS_100.nii.gz,0.9838,random,0.948029,0.983472
BRATS_104.nii.gz,0.9946,gradcam,0.032656,0.973465
BRATS_104.nii.gz,0.9946,ig,0.057687,0.971202
BRATS_104.nii.gz,0.9946,occlusion,0.050527,0.971920
BRATS_104.nii.gz,0.9946,tcav_edema,0.050504,0.971123
