panel,tau,arch,operator,n,vol_signal,slice_signal,ratio,wilcoxon_p,ci_lo,ci_hi
common,0.5,resnet,context-nn,73,0.189721,0.0088,21.5587,1.283e-13,15.0487,30.8849
common,0.55,resnet,context-nn,72,0.184369,0.008494,21.7063,1.882e-13,14.9201,31.5792
common,0.6,resnet,context-nn,71,0.183326,0.008394,21.8404,2.762e-13,14.9561,31.8935
common,0.65,resnet,context-nn,70,0.180833,0.007481,24.1735,4.053e-13,16.6991,34.9932
common,0.7,resnet,context-nn,69,0.178855,0.006908,25.8901,5.949e-13,17.6643,37.9463
concept,0.5,resnet,context-nn,73,0.143518,0.007062,20.3221,6.973e-12,12.8348,32.1772
concept,0.55,resnet,context-nn,72,0.139815,0.00695,20.1185,1.077e-11,12.4546,32.4984
concept,0.6,resnet,context-nn,71,0.138247,0.006828,20.2473,1.667e-11,12.5186,32.7477
concept,0.65,resnet,context-nn,70,0.134973,0.005892,22.9068,2.583e-11,13.9732,37.5521
concept,0.7,resnet,context-nn,69,0.132331,0.005993,22.0799,4.009e-11,13.5315,36.0288
union,0.5,resnet,context-nn,73,0.195158,0.010042,19.4345,1.513e-13,13.8268,27.3165
union,0.55,resnet,context-nn,72,0.189882,0.009753,19.4697,2.226e-13,13.5609,27.9532
union,0.6,resnet,context-nn,71,0.188916,0.009671,19.5353,3.274e-13,13.6472,27.9638
union,0.65,resnet,context-nn,70,0.186367,0.008776,21.2372,4.817e-13,14.7765,30.5226
union,0.7,resnet,context-nn,69,0.184469,0.008222,22.4364,7.088e-13,15.3926,32.7034
only-gradcam,0.5,resnet,context-nn,73,0.113014,0.004556,24.8048,9.346e-09,11.6533,52.7986
only-gradcam,0.55,resnet,context-nn,72,0.108887,0.004409,24.698,1.494e-08,11.4153,53.4364
only-gradcam,0.6,resnet,context-nn,71,0.106883,0.004251,25.1415,2.316e-08,10.8837,58.0768
only-gradcam,0.65,resnet,context-nn,70,0.10349,0.003279,31.5628,3.592e-08,12.993,76.6729
only-gradcam,0.7,resnet,context-nn,69,0.100391,0.003627,27.6753,5.577e-08,13.5037,56.7196
only-ig,0.5,resnet,context-nn,73,0.063718,0.00221,28.8289,1.406e-04,7.151,116.2224
only-ig,0.55,resnet,context-nn,72,0.065883,0.002762,23.8526,7.614e-05,8.8153,64.5408
only-ig,0.6,resnet,context-nn,71,0.063725,0.0026,24.5125,1.265e-04,8.0563,74.5825
only-ig,0.65,resnet,context-nn,70,0.06019,0.00174,34.5844,2.094e-04,10.0853,118.5968
only-ig,0.7,resnet,context-nn,69,0.056803,0.001811,31.3606,3.457e-04,8.2862,118.6895
only-occlusion,0.5,resnet,context-nn,73,0.162365,0.007348,22.0957,7.699e-11,14.6061,33.4258
only-occlusion,0.55,resnet,context-nn,72,0.156633,0.007022,22.3071,1.222e-10,14.5815,34.1258
only-occlusion,0.6,resnet,context-nn,71,0.155199,0.007024,22.0954,1.942e-10,14.2362,34.2932
only-occlusion,0.65,resnet,context-nn,70,0.152304,0.006486,23.4822,3.093e-10,14.8551,37.1195
only-occlusion,0.7,resnet,context-nn,69,0.149964,0.005899,25.4212,4.937e-10,15.793,40.9193
