dataset,arch,operator,file,conf,method,vol_auc,slice_auc
brats,reference,context-nn,vol0000,0.9683,gradcam,0.884472,0.967861
brats,reference,context-nn,vol0000,0.9683,ig,0.959072,0.952806
brats,reference,context-nn,vol0000,0.9683,occlusion,0.957720,0.964782
brats,reference,context-nn,vol0000,0.9683,random,0.899257,0.971704
brats,reference,context-nn,vol0001,0.8489,gradcam,0.994071,0.860805
brats,reference,context-nn,vol0001,0.8489,ig,0.887719,0.865082
brats,reference,context-nn,vol0001,0.8489,occlusion,0.979583,0.847774
brats,reference,context-nn,vol0001,0.8489,random,0.878754,0.873507
brats,reference,context-nn,vol0002,0.7216,gradcam,0.672845,0.752480
brats,reference,context-nn,vol0002,0.7216,ig,0.987531,0.735333
brats,reference,context-nn,vol0002,0.7216,occlusion,0.571153,0.732466
brats,reference,context-nn,vol0002,0.7216,random,0.897032,0.768835
brats,reference,context-nn,vol0003,0.5226,gradcam,0.817375,0.583194
brats,reference,context-nn,vol0003,0.5226,ig,0.769963,0.573923
brats,reference,context-nn,vol0003,0.5226,occlusion,0.258928,0.538287
brats,reference,context-nn,vol0003,0.5226,random,0.834848,0.568279
brats,reference,context-nn,vol0004,0.8546,gradcam,0.085978,0.776347
brats,reference,context-nn,vol0004,0.8546,ig,0.042179,0.771215
brats,reference,context-nn,vol0004,0.8546,occlusion,0.033700,0.773030
brats,reference,context-nn,vol0004,0.8546,random,0.322072,0.789999
brats,reference,context-nn,vol0005,0.9891,gradcam,0.946814,0.971636
brats,reference,context-nn,vol0005,0.9891,ig,0.828355,0.986415
brats,reference,context-nn,vol0005,0.9891,occlusion,0.871933,0.981848
brats,reference,context-nn,vol0005,0.9891,random,0.859418,0.988382
brats,reference,context-nn,vol0006,0.9984,gradcam,0.876239,0.993690
brats,reference,context-nn,vol0006,0.9984,ig,0.792489,0.997707
brats,reference,context-nn,vol0006,0.9984,occlusion,0.542240,0.994523
brats,reference,context-nn,vol0006,0.9984,random,0.868158,0.997925
brats,reference,context-nn,vol0007,0.8345,gradcam,0.038945,0.780249
brats,reference,context-nn,vol0007,0.8345,ig,0.224128,0.777762
brats,reference,context-nn,vol0007,0.8345,occlusion,0.089112,0.760869
brats,reference,context-nn,vol0007,0.8345,random,0.283008,0.764933
brats,reference,context-nn,vol0008,0.9741,gradcam,0.287869,0.960398
brats,reference,context-nn,vol0008,0.9741,ig,0.282178,0.958005
brats,reference,context-nn,vol0008,0.9741,occlusion,0.047989,0.959640
brats,reference,context-nn,vol0008,0.9741,random,0.371233,0.963874
brats,reference,context-nn,vol0009,0.8742,gradcam,0.023587,0.833682
brats,reference,context-nn,vol0009,0.8742,ig,0.071812,0.817336
brats,reference,context-nn,vol0009,0.8742,occlusion,0.178439,0.813369
